[3.025.040]
TEMPRESA            Tabela de Empresas
TPEDIDO             Pedidos de Venda
TPRODUTO            Cadastro de Produto
TFUNCIONA           Cadastro de Funcionários
TCOMPRA             Pedido de Compra
TDEPOSITO           Depósito de Estoque
TUNIMED             UNIDADES DE MEDIDAS
TCMPPARAMETRO       Parâmetros Compras
TCOMPRA1            Observações do Pedido de Compra
TCOMPRA2            Local Entrega Ped. Compra
TPAIS               País
TESTADO             Cadastro de Estado
TCIDADE             Cadastro de Cidade
TVENDEDOR           Cadastro de Representante
TOPERA              CFOPs
TCONDPAG            Condições de Pagamento
TQUALIFICACAO       Qualificações
TVISITA             Visitas dos Vendedores
TELEMEN             Elementos do Patrimônio
TCCUSTO             Centros de Custo
TGRELE              Grupo de Elementos ou Tipos
TSCRIPT             HIST.TRANSF.C.CUSTO ELEMENTOS
TVLREL              Valores Mensais dos Elementos
TLANCAI             Lançamento Saída de Caixa
TBANCO              Cadastro de Bancos
TPBANCO             Posição de Bancos
TPCAIXA             Posição de Caixa
TMODCOBRA           Modalidades de Cobrança
TPREENSAI           Previsões de Entrada e Saída
TPRTIPO             Tipo de Título / Previsão
TPLANOC             PLANO DE CONTAS
TFCMAT              Fornecedor X Material
TREQCOMP            Ordens de Compra
TRATEIO             Rateios
TRELBALAN           Relações de Balanço
TCUSTOS             TIPOS DE CUSTOS
TFORMULA            Fórmulas para Cálculo Preço de Venda
TREGIAO             Regiões
TESTRUTURA          Estrutura de Produtos
TMAQUINA            Máquinas
TPROCESSO           Processo/Fluxo de Fabricação
TINDCOTAC           Cotações dos Indicativos
TFERIADO            Feriados do Ano
TINDICATIVO         INDICATIVOS ECONÔMICOS
TTRANSA             TRANSAÇÕES DE ESTOQUE
TVOLUME             Volumes / Observação da Nota de Saída
TOBSERVA            Observações Padrões para NFs
TCOMIPED            Comissões dos Pedidos de Venda
TTIPOPED            TIPOS DE PEDIDOS DE VENDA
TORDEM              Ordens de Produção
TPLANILHA           Planilhamento de Horas
TREQORDEM           Número das Requisições Ordens
TGRUPO              Grupos e SubGrupos de Estoque
TCLASSI             Cadastro de Classificações Fiscais
TINVENTA            Digitação Inventário
TDADOSEMP           Dados da Empresa
TCTBPARAM           Parâmetros da Contabilidade
TPATPARAM           Parametros do Patrimônio
TPROPARAM           Parâmetros Produção
TNOTPARAM           Parâmetros das Notas
TCTBCCMASC          Máscara para C.Custo
TCTBPCMASC          Máscara para Pl. Contas
THISTORICOS         HISTÓRICO PADRÃO CONTABILIDADE
TREQUIS1            Requisições e Devoluções
TENCEOS             ENCERRAMENTO DE ORDEM SERVIÇO
TREPORT2            Reportes de Produção
TENTPARAM           Parâmetros das Notas de Entrada
TCTBUSU             Usuários do CTB
TLANCAI1            Lançamento Entrada do Caixa
TLANCAI2            Lançamento Saída Bancária
TLANCAI3            Lançamento Entrada Bancária
TLANCAI4            Lançamento Depósito Dinheiro
TLANCAI5            Lançamento de Saque Bancário
TLANCAI6            Lançamento Transferência Bancária
TPEDID1             PRODUTOS DO PEDIDO DE VENDA
TCTBDIAR            PARÂM DIÁRIO AUX.C.RECEBER
TLANCRELA           Lançamento de Bancos Relacionados
TEVENTOS            CADASTRO DE EVENTOS
TPEDHISTO           Histórico do Pedido de Venda
TLANCAI8            Lançamento Alteração Transferência Bancária
TLANCAI9            Lançamento Adiantamento Folha
TPARAMCOM           Parâmetros do Comercial
TPASFASE            Passagem de Fases
TCOTACAO            Cotação de Preços
TCOTACA1            Cotação de um Produto
TPARFISC            Parâmetros dos Registros Fiscais
TSUBGRUPO           EXCLUSÃO DE SUBGRUPO
TUFIRMES            UFIR Mensal
TPLANOC1            ALTERA PLANO CONTAS
TAPURA              APURA ICMS/IPI
TOPEROFICIAL        NATUREZAS DE OPERAÇÃO OFICIAIS
TPARAPURA           Parâmetros Livro Apuração
TTITALT             Alteração de Duplicatas
TTITBANCOS          Títulos Enviados ao Banco
TINTDESC            Descrição das Integrações CTB
TINTLANC            Descrição por Matriz Contábil
TPARAMINT           PARAMETROS INTGRAÇÃO CTB
TINDCOT1            Cotação de Indicadores
TPOSSAL2            ATUALIZA SALDO INICIAL
TPARFECFIS          PARÂM.FECHAMENTO LIVROS FISC.
TCTBDEMO            Estrutura de Balancetes Demonstrativos
TCTBPAT             CONTAS PATRIMONIAIS/RESULTADO
TCTBDECC            Centro de Custo CTBDEMO
TCTBHIST            HISTÓRICOS DE BALANÇO
TLACA2              Lançamento de Contrapartida
TETIQUETA           Dados para Etiquetas
TPEDIDO2            Alteração do Pedido Após Faturado
TLOGSEPARAM         Parâmetros das Senhas
TPATCONTA           Lançamentos Depreciação na Contabilidade
TENGPARAM           Parâmetros Engenharia
TLOTEPROD           Lote de Produção
TTPTABPRV           Tipo Tabela de Preços
TTABPRVENDA         Cadastro de Tabela com Preços de Venda
TAPVPARAM           Parâmetros Apoio de Vendas
TABRANGE            REGIÃO DE ABRANGENCIA
TPERIODO            PERÍODO DE PREVISÃO VENDAS
TMETAS              METAS DE VENDAS
TNOTDEMO            Notas de Demonstração
TCHPREDATA          Alteração de Cheque Próprio
TLYDUPRO            Duplicata Própria
TENSACAI            Contas para Relatório Entrada / Saída Caixa
TPERFOLHA           PERÍODO DA FOLHA
TPERFUNCI           PERÍODO POR FUNCIONÁRIO
TCHPRE03            Alteração Cheque Terceiros
TNOTASA1            Dados Gerais da NF de Saída
TLOTECAR            Lotes de Carga
TPEDIDO3            Lote de Carga do Pedido
TBCOREME            Arquivo Remessa para Banco
TBCORETO            Layout Arquivo Retorno Banco
TCMEMPRESA          Complementos da Empresa
TCTBATUAL           Atualização Monetária
TCTBBCCUS           Balancete para Centro de Custo
TDEMCTBA            Demonstrativo CTB Principal
TDEMCTBB            Demonstrativo CTB Composição
TDEMCTBC            Demonstrativo CTB Excluir
TIMPPARAM           Importa TXT C/Parâmetros
TPLCCCU             Plano de Contas em C.Custo
TSCRIPT1            Transferência C.Custo Elementos
TSETORCC            CENTROS DE CUSTO DE UM SETOR
TTIPACAB            Tipos de Acabamentos
TTITRAP             Inclusão Rápida de Títulos
TOPPROC             Operações dos Processos
TBCOPARAM           Parâmetros Integração com Bancos
TLCEMPRESA          Locais de Entrega da Empresa
TVENDPRE            PREPOSTOS DO REPRESENTANTE
TMCSPARAM           Parâmetros Exportação Mercosul
TMCSFATURA          Fatura Gerada para Mercosul
TMCSCLASSI          Classificação Fiscal Exportação
TMCSPRODU           Descrição Complementar do Produto
TOBSOPERA           Observações por CFOP
TOBSOPNOT           OBSERV.DAS NAT.OPER.POR NOTAS
TELYNOTA            Layout das Etiquetas das Notas
TAPUMAO             Notas Com ISSQN
TGERMAG             Nat. Opera e Obser. Gerar Magn
TNOTCALC            Cálculo IRRF/INSS/ISSQN NF's de Saída/Entrada
TPARAGERA           PARÂMETROS DE GERA MAGNÉTICO
TPARCREDI           PARCELAS DE CRÉDITO ICMS
TPARPARC            PARÂMETRO PARCELAMENTO CRÉDITO
TNOTEMULT           NOTA MÚLTIPLA DE ENTRADA
TFUNCOES            CADASTRO DE FUNÇÕES
TPARADAS            Paradas dos Funcionários
TUMPPRO1            Prog. Produção - Altera Quantidade a ser Produzida
TCBRAZAUX           Razão Auxiliar
TCOMCTBA            Comparativo CTB ABC Principal
TCOMCTBB            Comparativo CTB ABC Composição
TCOMCTBC            Comparativo CTB ABC Excluir
TCTBDIAB            PARÂMETROS BALANÇOS DIÁRIO
TCTBDIAC            Parâmetros Diário Contábil
TCTBDIAP            Parâmetro Diário Aux. C. Pagar
TPLNCCU             C.Custo Proibido
TPLAPARA            Planilhamento de Paradas
TNARRPED            Narrativa para Produtos do Pedido
TELYPROD            Layout Etiquetas para Produtos
TFISNFSUBISS        NOTAS C/SUBST.ISSQN
TBATISMO            Batismo de Códigos de Produtos
TPEDIDO9            Cadastro de Pedido de Venda Otimizado
TSOFTDES            LAYOUT IMPORT.SOFTWARE DESIGN
TPSVCONTA           CONTATOS PÓS-VENDA
TAUSETIP            Tipo de Ausência p/ Funcionário
TAUSENCIA           AUSÊNCIAS DOS FUNCIONÁRIOS
TIMPRESS            Configuração de Impressoras
TETAPV              Etiquetas Apoio a Vendas
TLAYCHEQUE          Layout de Cheques
TRECPARAM           PARÂMETROS CONTAS A RECEBER
TMADPARAM           PARAMETROS CONTROLE MADEIRAS
TPASLOTE            Passagens por Lote
TCAIPAR3            Parâmetros Diversos
TPARAREP            Parâmetros Módulo Representante
TSCIJUR             SCI EQUIFAX JURÍDICO
TSCIFIS             SCI EQUIFAX FÍSICO
TMCSIDIOMA          Idioma Usado na Exportação
TMCSMFATU           Matriz Fatura Comercial
TMCSMLIEMB          Matriz Lista de Embarque
TMCSRODA            Rodapé / Declaração
TREGDUP1            REGISTRO DUPLICATAS
TEMPRES2            Clientes/Fornecedores
TPAREQDEV           Parâmetros Requisições e Devoluções
TUMATUVEN           ATUALIZA PR.VENDA AUTOM.
TTRANSPORT          Transportadoras
TRELTABREG          Relação Tabela de Preço x Região de Custo
TLANCA14            Lançamento Depósito de Cheques
TPARAMOMM           Parâmetros de Móveis Modulares
TRELPRODES          Relação Design x Produto
TCTBRAZP            Parâmetro Razão Aux. C. Pagar
TCTBRAZR            PARÂM. RAZÃO AUX.C.RECEBER
TPMRTIPO            TIPOS DE TÍTULOS
TPMREECEBE          POS MENS RECEBIMENTOS EMPRESAS
TRGDOPERA           NAT OPERA PARA REG DUPL
TEXPASSTEC          Assistência Técnica
TEXPCOTA            Cotação de Moeda
TEXPEDIDO           Pedido Exportação
TEXPPARAM           Parâmetros Mercado Externo
TCTBNRLAN           Número dos Lançamentos CTB
TLNCTB              Lançamentos Contábeis
TTITSMULT           Título Múltiplos de Saída
TEMPINSEST          Inscrição Estadual de Empresa
TEMPRE10            Atualiza Dados da Empresa
TPEDVALDES          Pedidos de Venda
TPARAMPLAN          Parâmetros para Planejamento
TOBSNOTENT          Observações das Notas Entrada
TASSMOTI            MOTIVO ASSISTÊNCIA TÉCNICA
TASSISTEC           Cadastro de Assistência Técnica
TASSPARAM           Parâmetros Assistência Técnica
TASSNAR             Narrativa Item Assis Técnica
TASSLCENT           Local de Entrega Assis Técnica
TUMASSTEC           Temp de Assistência Técnica
TTRANSDEPO          Transferência entre Depósitos
TVLRANTE            VALORES ANTECIPADOS CLI/FORN
TVLRLA11            LANÇAMENTOS PAGTOS E-CAIXA
TVLRLA12            Lançamentos Recebimentos E-Caixa
TVLRLA21            Lançamentos Entrada Antecipada
TVLRLA22            Lançamentos Saídas Antecipadas
TVLRLA23            LANÇ.DEVOL. ANTECIPADA CLIENTE
TVLRLA24            LANÇ.DEVOLUÇÃO ANTEC.FORNEC
TVLRLAUX            Lançamentos Contrapartida Antecipados
TVLRTITULO          APROVEITAMENTO TITULO E-CAIXA
TDESPARAM           Parâmetros Desenho
TPARAMBACKUP        Parâmetros de Backup
TPARAMAUX           Parâmetros Auxiliares
TMOVIREPR           Movimentação Financ. Represen.
TPAGPARAM           Parâmetros de Contas a Pagar
TPOSIREP            Posição Financeira Repres.
TUMITCOT            Temporário de Itens para Cotação
TINTDTLIM           Limites de Data por Origem
TASSISTLC           Lote de Carga da Assistência
TDEVCOMPRA          DEVOLUÇÕES DE COMPRA
TPEDOBSSIT          OBSERVAÇÃO DA SITUAÇÃO PEDIDO
TPBANCON            Posição Banco Conciliado
TMVFUNCIO           Movimentos dos Funcionários
TIRREGNF            IRREGULARIDADES DE NFS
TCARCORR            Cartas de Correção
TPARAMEXP           Parâmetros da Expedição
TPROJPEDI           Pedidos  do Projeto na Expedição
TPROJPRIO           Prioridades de Embarque
TPROJEMBA           Embarques do Projeto
TPROJMOVI           Movimentos do Projeto
TLCEMPR1ESA         Locais de Entrega da Empresa
TPROJLOCA           Localização para Embarque
TNFREM              Parâmetros para Remessa Arquivo das NF's
TCLIREM             Dados Clientes para Remessa NF's
TAFSPLANO           Plano Análise Financeira
TCOMPRADOR          Tabela de Compradores
TAFSPLA1NO          Planejamento Financeiro
TPRODREM            Layout de Produtos
TGRUPECO            Grupos Econômicos
TPRAEMP             Praça de Cobrança
TDEVVENDA           DEVOLUÇÕES DE VENDA
TFORMFISC           Fórmulas p/ Livros Fiscais
TNCOTACAO           Nova Tabela de Cotações
TNOTPRCFOP          Parametro CFOP Notas
TNOTPARENT          PARAMETROS DAS NOTAS
TOPEROBS            OBSERVAÇÕES DAS NAT.OPERAÇÕES
TNARRCOT            Tabela Narrativa de Cotações
TRESOLUAS           Resoluções da Assistência Téc
TACOESAS            Ações de Assistência Técnica
TLAYEXP             Layout para Exportação de Dados
TUMALTTIT           Desdobramento de Títulos - Saídas
TPREVICOM           Previsões de Pagamento da Compra
TCTBONLINE          PARÂMETROS CTB ON-LINE
TPARGERA            Parâmetros da Geração de Arquivos
TACUMULADOR         Cadastro de Acumuladores
