"src_schema","src_table","src_column","tgt_schema","tgt_table","tgt_pk","name_hits","name_score"
"public","assiste1","assistec","public","assistec","assistec","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","banco","ccusto","public","ccusto","ccusto","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","banco","cidade","public","cidade","cidade","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","banco","planoc","public","planoc","planoc","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","batismol","batismo","public","batismo","batismo","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","cep","cidade","public","cidade","cidade","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","chpredat","banco","public","banco","banco","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","cidade","estado","public","estado","estado","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","cmempres","modcobra","public","modcobra","modcobra","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","cmempres","tipoped","public","tipoped","tipoped","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","cmempres","vendedor","public","vendedor","vendedor","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","comiped","vendedor","public","vendedor","vendedor","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","compra","deposito","public","deposito","deposito","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","compra","empresa","public","empresa","empresa","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","compra1","compra","public","compra","compra","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","compra2","compra","public","compra","compra","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","compra3","compra","public","compra","compra","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","compra3","produto","public","produto","produto","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","confrfsl","notparam","public","notparam","notparam","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","cotacao","empresa","public","empresa","empresa","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","cotacao1","cotacao","public","cotacao","cotacao","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","cotacao1","produto","public","produto","produto","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","ctbdecc","ctbdemo","public","ctbdemo","ctbdemo","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","demctb1","demctb","public","demctb","demctb","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","demctb2","demctb","public","demctb","demctb","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","demctbb","demctb","public","demctb","demctb","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","depalqtr","deposito","public","deposito","deposito","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","deposit1","deposito","public","deposito","deposito","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","doctos","ccusto","public","ccusto","ccusto","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","doctos","planoc","public","planoc","planoc","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
"public","elecon","elemen","public","elemen","elemen","{""col == tabela"",""col == pk"",""termina com tabela"",""começa com tabela""}",4
