"src_schema","src_table","src_column","tgt_schema","tgt_table","tgt_pk","total_distinct_sampled","matched_on_parent","coverage","rel_exemplo"
"public","acabcon1","amctipacab","public","tipacab","tpacodi","46","46","1.0000","acabcon1[amctipacab] -> tipacab[tpacodi]"
"public","acabconf","amctipacab","public","tipacab","tpacodi","46","46","1.0000","acabconf[amctipacab] -> tipacab[tpacodi]"
"public","alitpimt","alitppais","public","pais","pais","1","1","1.0000","alitpimt[alitppais] -> pais[pais]"
"public","aplica","aplccusto","public","ccusto","ccusto","4","4","1.0000","aplica[aplccusto] -> ccusto[ccusto]"
"public","aplica","aplplanoc","public","planoc","planoc","30","30","1.0000","aplica[aplplanoc] -> planoc[planoc]"
"public","assiste1","aspopera","public","opera","operacao","19","19","1.0000","assiste1[aspopera] -> opera[operacao]"
"public","asslcent","aslccidade","public","cidade","cidade","1","1","1.0000","asslcent[aslccidade] -> cidade[cidade]"
"public","asslcent","aslcestado","public","estado","estado","1","1","1.0000","asslcent[aslcestado] -> estado[estado]"
"public","assparam","asprmopera","public","opera","operacao","1","1","1.0000","assparam[asprmopera] -> opera[operacao]"
"public","banco","ccusto","public","ccusto","ccusto","6","6","1.0000","banco[ccusto] -> ccusto[ccusto]"
"public","banco","cidade","public","cidade","cidade","38","38","1.0000","banco[cidade] -> cidade[cidade]"
"public","banco","planoc","public","planoc","planoc","17","17","1.0000","banco[planoc] -> planoc[planoc]"
"public","bbbanco","bbanco","public","banco","banco","8","8","1.0000","bbbanco[bbanco] -> banco[banco]"
"public","boleto","bolbanco","public","banco","banco","6","6","1.0000","boleto[bolbanco] -> banco[banco]"
"public","calibrac","instrument","public","instrume","instrument","1","1","1.0000","calibrac[instrument] -> instrume[instrument]"
"public","cep","cidade","public","cidade","cidade","1018","1018","1.0000","cep[cidade] -> cidade[cidade]"
"public","cfopsuf","csuopera","public","opera","operacao","16","16","1.0000","cfopsuf[csuopera] -> opera[operacao]"
"public","chqdev","chvmotivo","public","motivo","motivo","22","22","1.0000","chqdev[chvmotivo] -> motivo[motivo]"
"public","cidade","estado","public","estado","estado","40","40","1.0000","cidade[estado] -> estado[estado]"
"public","compra","deposito","public","deposito","deposito","4","4","1.0000","compra[deposito] -> deposito[deposito]"
"public","compra","empresa","public","empresa","empresa","1276","1276","1.0000","compra[empresa] -> empresa[empresa]"
"public","compra3","compra","public","compra","compra","10000","10000","1.0000","compra3[compra] -> compra[compra]"
"public","compra3","produto","public","produto","produto","7325","7325","1.0000","compra3[produto] -> produto[produto]"
"public","ctbalan1","balccusto","public","ccusto","ccusto","5","5","1.0000","ctbalan1[balccusto] -> ccusto[ccusto]"
"public","ctbimp1","ctbiccusto","public","ccusto","ccusto","8","8","1.0000","ctbimp1[ctbiccusto] -> ccusto[ccusto]"
"public","ctbimp1","ctbiplanoc","public","planoc","planoc","234","234","1.0000","ctbimp1[ctbiplanoc] -> planoc[planoc]"
"public","demctb1","demctb","public","demctb","demctb","1","1","1.0000","demctb1[demctb] -> demctb[demctb]"
"public","demctb2","demctb","public","demctb","demctb","1","1","1.0000","demctb2[demctb] -> demctb[demctb]"
